Име,Спорт,Състезателно,Извън,Нарушение,Субстанция,Санкция
Т.Н.,лека атлетика,да,-,Чл. 2.1 & 2.2/Чл. 6.2.1 & 6.2.2,a43433c0e7eda2288d8b9a33ec9481f90db15083,до живот
Д.Д.,вд. тежести,да,-,Чл. 2.1 & 2.2/Чл. 6.2.1 & 6.2.2,484eae6a891e1e205374bd584032a1e28fdb2765,8 г. (20.10.2026 г.)
Ю.Б.,вдигане на тежести,-,да,чл. 2.1 и чл. 2.3 от IWF ADR,135827029be0e8bc56bc5d12ab6037c3cc18c5ee,до живот
Д.Й.,канадска борба,да,-,чл. 2.1,a43433c0e7eda2288d8b9a33ec9481f90db15083,4 г. (до 15.01.2026г.)
А.И.,плуване,-,-,"чл. 51, ал. 1 от НАД",3bc15c8aae3e4124dd409035f32ea2fd6835efc9,2 г. (до 04.06.2027г.)
Е.Т.,бодибилдинг,да,-,Чл. 6.1.3,3bc15c8aae3e4124dd409035f32ea2fd6835efc9,4 г. (до 29.09.2026г.)
С.Г.,бодибилдинг,да,-,Чл. 6.1.3,3bc15c8aae3e4124dd409035f32ea2fd6835efc9,4 г. (до 29.09.2026г.)
А.Г.,бодибилдинг,да,-,Чл. 6.1.1 и чл. 6.1.2,c5fe5443eed7ea415db3c92cdc82d07f29575193,4 г. (до 18.10.2026г.)
Г.Й.,футбол,да,-,Чл. 2.1 АП на УЕФА,3449550a0205db92bac70830698d905d0182ee0d,4 г. (до 25.08.2026г.)
Д.К.,риболовен спорт,-,да,Чл. 2.1 и 2.2 на CIPS,c65607069392085bc57a5b562d9a00bd3913c17c,4 г. (до 19.06.2026г.)
С.М.,бодибилдинг,да,-,Чл. 2.1 и 2.2 на IFBB,8e18f868a35fcc03f642e5b78df1630537b0c1a8,4 г. (до 03.07.2026г.)
С.Х.,борба,да,-,Чл. 6.1.1 и чл. 6.1.2,a43433c0e7eda2288d8b9a33ec9481f90db15083,3 г. (до 01.02.2026г.)
М.Б.,бодибилдинг,да,-,Чл. 6.1.1 и чл. 6.1.2,09c596171e139425f5790e07e3b061f37902ffc1,4 г. (до 12.10.2027г.)
Й.А.,колоездене,да,-,Чл. 6.1.1 и чл. 6.1.2,07e02a80fd3dbeadbab7db455caaaf8f285be775,4 г. (до 24.08.2027г.)
Д.Ф.,вдигане на тежести,-,да,Чл. 2.1 и чл. 2.2 от IWF ADR,306b62a0ca5b831d556fb5fb890893341c1d0f27,3 г. (до 30.03.2026г.)
П.Б.,колоездене,да,-,Чл. 6.1.1 и чл. 6.1.2,772413b9f5bd9576bdfaa4de7455a6551ec0ec0e,3 г. (до 25.10.2026г.)
Б.Б.,хандбал,да,-,Чл. 6.1.1 и чл. 6.1.2,6c66f7100b70e6e93ae0f7b1a1d8363148946032,4 г. (до 21.05.2028г.)
Д.С.,хандбал,-,да,Чл. 6.1.1 и чл. 6.1.2,04ed8d12b3c279f29a37209d1df2e233034fe865,4 г. (до 28.06.2028г.)
К.К.,хандбал,-,да,Чл. 6.1.1 и чл. 6.1.2,1c5f9fd535ace425ba1e11704cb27b09128f5034,4 г. (до 28.06.2028г.)
Д.П.,ММА,да,-,Чл. 2.1 и/или чл. 2.2 IMMAF ADR,5a5fe3a5394626ec976d65fedcbdd74a08e8c4c6,5 г. (до 30.04.2029г.)
Д.М.,вдигане на тежести,-,да,Чл. 6.1.1 и чл. 6.1.2,697a08ca790bb00f5b7f204e63f716517ef79ef3,4 г. (до 27.09.2028г.)
Р.Т.,художествена гимнастика,-,да,Чл. 6.1.1 и чл. 6.1.2,45ae16d55b0a0865fb85269b5078c5786709f371,3 г. (до 01.10.2027г.)
Т.К.,бодибилдинг,да,-,Чл. 6.1.3,3bc15c8aae3e4124dd409035f32ea2fd6835efc9,4 г. (до 08.10.2028г.)
С.Й.,колоездене,-,да,Чл. 6.1.3,3bc15c8aae3e4124dd409035f32ea2fd6835efc9,3 г. (до 06.03.2028г.)
П.Г.,кикбокс,да,-,Чл. 6.1.1 и чл. 6.1.2,87367844f3c60f244f672a04f569f4abea1b8710,4 г. (до 02.05.2029г.)
В.З.,силов трибой,да,-,Чл. 6.1.1 и чл. 6.1.2,2cd3a07c0d12d44b22f18881c514cc22ab5659e0,2 г. (до 02.05.2027г.)
К.А.,самбо,да,-,Чл. 6.1.1 и чл. 6.1.2,b777b71a87a6e6e6fa6f2811c713576c445a04a1,3 г. (до 11.03.2028г.)
В.Л.,бокс,да,-,Чл. 6.1.1 и чл. 6.1.2,2cd3a07c0d12d44b22f18881c514cc22ab5659e0,2 г. (до 02.05.2027г.)
Д.А.,борба,да,-,Чл. 6.1.1 и чл. 6.1.2,7b510f0e69fdc44215d6693e745fe52ab99f76f1,3 г. (до 03.07.2028г.)
В.К.,лека атлетика,да,-,Чл. 6.1.3,3bc15c8aae3e4124dd409035f32ea2fd6835efc9,4 г. (до 12.08.2029г.)
,,,,,da39a3ee5e6b4b0d3255bfef95601890afd80709,
,,,,,dca24db74dfefca8fa0ec93c85b8128cc05f5464,
