step,fish,sharks
1,10601,11994
2,9222,11871
3,8159,11866
4,7390,11830
5,6580,11815
6,5993,11871
7,5501,11879
8,5022,11814
9,4535,11805
10,4303,9666
11,7730,5636
12,7695,5677
13,7427,5643
14,7146,5646
15,6833,5613
16,6539,5650
17,6298,5642
18,6043,5606
19,5867,5636
20,5603,5567
21,10100,5668
22,10067,5692
23,9915,5612
24,9548,5648
25,9408,4942
26,9093,3462
27,8927,3467
28,8590,3493
29,8388,3474
30,8409,3455
31,14699,3493
32,15018,3517
33,15032,3505
34,14719,3515
35,14467,3596
36,14124,3579
37,13822,3555
38,13506,3616
39,13206,3631
40,13266,3355
41,23186,2972
42,23673,2945
43,23550,2925
44,23147,2988
45,22774,3007
46,22257,3042
47,21765,3088
48,21309,3166
49,20710,3216
50,21186,3147
51,35359,3398
52,36197,3446
53,36204,3535
54,35289,3576
55,34815,3652
56,33731,3619
57,33133,3664
58,32396,3739
59,31544,3754
60,32504,3759
61,50790,4155
62,51893,4188
63,51593,4409
64,50682,4627
65,49617,4766
66,48164,4991
67,46897,5177
68,45066,5374
69,43791,5578
70,44505,5584
71,64651,6194
72,65979,6408
73,65565,6745
74,63528,7224
75,61950,7536
76,59325,7882
77,57293,8315
78,54527,8650
79,52138,9052
80,52557,9052
81,70269,10052
82,71156,10570
83,69549,11168
84,66709,11740
85,64026,12265
86,60203,12765
87,56884,13406
88,52945,13995
89,49409,14525
90,48147,14666
91,59710,15703
92,59528,16272
93,57222,16962
94,53586,17785
95,50129,18293
96,45871,18993
97,42135,19593
98,38223,20028
99,34540,20511
100,31987,20624
101,37416,21635
102,36304,21792
103,34016,22324
104,30882,22539
105,28002,22911
106,24629,23163
107,21703,23435
108,18718,23610
109,16354,23658
110,14330,23426
111,16289,23817
112,15347,23763
113,13900,23809
114,11978,23747
115,10398,23606
116,8699,23361
117,7545,23252
118,6378,23030
119,5405,22813
120,4545,22507
121,5523,22376
122,5227,22017
123,4683,21609
124,4043,21262
125,3583,20954
126,3091,20580
127,2636,20245
128,2248,19889
129,1974,19502
130,1733,19177
131,2371,18918
132,2308,18460
133,2107,18336
134,1878,17914
135,1658,17543
136,1466,17059
137,1286,16737
138,1143,16373
139,1032,16099
140,908,15797
141,1376,15543
142,1308,15226
143,1243,14799
144,1170,14426
145,1033,14150
146,935,13735
147,835,13424
148,772,13124
149,734,12912
150,669,12482
151,1052,12179
152,1040,11862
153,990,11572
154,927,11196
155,876,11048
156,821,10699
157,732,10302
158,707,10171
159,644,9761
160,629,9487
161,996,9195
162,992,9039
163,979,8708
164,915,8388
165,838,8071
166,800,7848
167,775,7575
168,692,7259
169,715,6938
170,676,6726
171,1100,6540
172,1149,6251
173,1125,6085
174,1088,5787
175,1056,5481
176,1033,5306
177,1003,5089
178,965,4842
179,928,4633
180,877,4367
181,1478,4205
182,1543,3972
183,1556,3795
184,1547,3612
185,1488,3416
186,1457,3283
187,1363,3040
188,1331,2899
189,1316,2775
190,1304,2586
191,2134,2478
192,2217,2286
193,2298,2156
194,2285,2060
195,2234,1876
196,2186,1826
197,2136,1704
198,2073,1620
199,2024,1535
200,2026,1454
201,3343,1409
202,3445,1301
203,3566,1252
204,3477,1178
205,3420,1161
206,3367,1102
207,3275,1039
208,3222,1028
209,3125,967
210,3228,925
211,5084,915
212,5324,893
213,5468,891
214,5368,867
215,5281,859
216,5160,831
217,5044,823
218,4967,785
219,4892,783
220,4961,773
221,7742,799
222,8127,795
223,8284,797
224,8231,785
225,8117,815
226,7937,829
227,7884,857
228,7611,827
229,7539,861
230,7715,841
231,11732,906
232,12292,922
233,12616,915
234,12511,974
235,12356,1032
236,12166,1030
237,11990,1054
238,11737,1090
239,11459,1103
240,11664,1110
241,17226,1185
242,17980,1259
243,18384,1309
244,18237,1359
245,18090,1399
246,17768,1467
247,17608,1497
248,17123,1600
249,16837,1616
250,17155,1611
251,23995,1772
252,25342,1851
253,25826,1937
254,25644,2012
255,25494,2098
256,25044,2231
257,24605,2306
258,23962,2356
259,23515,2470
260,23904,2474
261,31768,2647
262,33134,2823
263,33883,2954
264,33611,3137
265,33226,3225
266,32470,3446
267,31901,3554
268,31185,3713
269,30421,3860
270,30515,3959
271,38513,4166
272,40039,4414
273,40555,4614
274,40131,4864
275,39528,5009
276,38381,5319
277,37656,5432
278,36390,5777
279,35478,5909
280,35266,6094
281,42370,6406
282,43682,6738
283,44027,6893
284,43457,7266
285,42439,7542
286,41016,7793
287,39912,8030
288,38286,8349
289,36772,8548
290,36355,8740
291,41798,9146
292,42898,9415
293,43193,9631
294,42252,9950
295,41292,10155
296,39643,10589
297,38275,10718
298,36577,11129
299,35147,11313
300,34225,11478
301,38388,11695
302,39001,11995
303,38973,12115
304,37727,12589
305,36620,12720
306,35157,13044
307,33687,13219
308,31985,13466
309,30536,13522
310,29519,13739
311,32807,13882
312,33081,14265
313,32924,14288
314,31824,14420
315,30696,14694
316,29177,14848
317,27942,14846
318,26332,15000
319,25145,14983
320,24038,14980
321,26478,15149
322,26779,15381
323,26608,15424
324,25447,15372
325,24575,15603
326,23334,15603
327,22279,15517
328,20846,15619
329,19795,15531
330,18910,15491
331,20879,15599
332,21148,15541
333,20911,15534
334,20176,15435
335,19272,15541
336,18242,15438
337,17402,15295
338,16502,15319
339,15681,15168
340,14950,15163
341,16503,15008
342,16923,14916
343,16872,14762
344,16286,14544
345,15812,14365
346,14950,14330
347,14305,14304
348,13466,14142
349,12757,13947
350,12197,13703
351,13531,13751
352,13958,13597
353,13885,13489
354,13607,13241
355,13033,13206
356,12458,13090
357,11937,12823
358,11284,12709
359,10702,12566
360,10227,12388
361,11472,12322
362,11922,12146
363,11930,11997
364,11615,11884
365,11111,11612
366,10593,11504
367,10148,11271
368,9532,11134
369,8936,11039
370,8452,10814
371,9770,10586
372,10166,10489
373,10303,10326
374,9923,10151
375,9523,10088
376,9042,9937
377,8546,9753
378,7931,9558
379,7440,9368
380,7054,9202
381,8393,9103
382,8737,9009
383,8872,8934
384,8539,8743
385,8199,8545
